idClass,idStudent,score
183,1,3.68
64,1,1.96
15,1,8.39
175,1,2.86
169,1,9.27
183,2,9.78
64,2,6.13
15,2,2.99
175,2,2.64
169,2,2.42
183,3,8.14
64,3,7.36
15,3,9.44
175,3,4.38
169,3,6.8
183,4,8.51
64,4,5.65
15,4,4.31
175,4,7.33
169,4,6.72
183,5,7.21
64,5,3.44
15,5,2.33
175,5,4.64
169,5,9.94
183,6,9.81
64,6,7.07
15,6,2.87
175,6,7.44
169,6,1.16
183,7,5.83
64,7,9.51
15,7,0.26
175,7,1.62
169,7,5.83
183,8,8.82
64,8,2.01
15,8,6.01
175,8,1.67
169,8,5.18
183,9,2.12
64,9,1.7
15,9,2.56
175,9,9.47
169,9,1.2
183,10,6.12
64,10,0.6
15,10,2.86
175,10,0.38
169,10,3.76
183,11,8.1
64,11,3.58
15,11,7.63
175,11,6.88
169,11,6.58
183,12,5.51
64,12,0.43
15,12,3.51
175,12,7.29
169,12,7.0
183,13,3.66
64,13,5.5
15,13,9.72
175,13,8.97
169,13,8.16
183,14,9.3
64,14,0.58
15,14,5.49
175,14,8.98
169,14,8.29
183,15,6.01
64,15,5.5
15,15,1.17
175,15,2.31
169,15,5.11
183,16,2.02
64,16,3.64
15,16,0.83
175,16,8.32
169,16,3.27
183,17,3.41
64,17,9.89
15,17,3.52
175,17,3.53
169,17,9.38
183,18,2.87
64,18,2.7
15,18,8.17
175,18,0.85
169,18,7.85
183,19,1.08
64,19,5.48
15,19,4.53
175,19,9.34
169,19,4.31
183,20,4.88
64,20,1.23
15,20,0.92
175,20,8.09
169,20,4.24
183,21,1.27
64,21,3.94
15,21,8.43
175,21,2.32
169,21,1.07
183,22,9.31
64,22,3.91
15,22,9.0
175,22,3.59
169,22,2.83
183,23,3.87
64,23,4.13
15,23,1.93
175,23,5.71
169,23,3.77
183,24,4.6
64,24,8.79
15,24,7.89
175,24,6.11
169,24,1.86
183,25,8.33
64,25,6.71
15,25,0.76
175,25,2.74
169,25,0.27
183,26,9.39
64,26,6.43
15,26,4.12
175,26,2.86
169,26,3.79
183,27,9.31
64,27,5.49
15,27,6.79
175,27,2.71
169,27,9.69
183,28,6.22
64,28,5.11
15,28,2.73
175,28,4.5
169,28,1.9
183,29,0.73
64,29,9.54
15,29,9.98
175,29,0.06
169,29,3.24
183,30,4.62
64,30,9.84
15,30,1.56
175,30,7.84
169,30,3.53
183,31,4.84
64,31,7.95
15,31,1.54
175,31,6.63
169,31,9.82
183,32,0.12
64,32,5.47
15,32,6.19
175,32,6.5
169,32,0.57
183,33,5.83
64,33,3.31
15,33,4.68
175,33,1.3
169,33,0.02
183,34,0.02
64,34,0.91
15,34,5.72
175,34,0.74
169,34,4.98
183,35,3.74
64,35,9.74
15,35,0.64
175,35,4.58
169,35,7.41
183,36,1.2
64,36,4.11
15,36,6.87
175,36,5.58
169,36,4.48
183,37,7.81
64,37,4.97
15,37,2.16
175,37,6.46
169,37,7.27
183,38,8.86
64,38,7.61
15,38,0.75
175,38,0.43
169,38,8.93
183,39,5.69
64,39,7.97
15,39,6.71
175,39,6.09
169,39,7.54
183,40,9.41
64,40,1.98
15,40,6.23
175,40,1.47
169,40,1.86
183,41,3.17
64,41,3.85
15,41,4.19
175,41,6.91
169,41,2.86
183,42,4.87
64,42,8.47
15,42,8.36
175,42,0.73
169,42,5.8
183,43,8.83
64,43,1.11
15,43,8.04
175,43,2.07
169,43,6.49
183,44,9.37
64,44,0.38
15,44,1.9
175,44,3.27
169,44,2.59
183,45,7.28
64,45,4.1
15,45,1.11
175,45,6.85
169,45,5.37
183,46,7.62
64,46,1.17
15,46,4.57
175,46,0.23
169,46,5.69
183,47,5.88
64,47,2.82
15,47,8.8
175,47,0.41
169,47,9.35
183,48,2.69
64,48,9.11
15,48,9.41
175,48,8.0
169,48,8.77
183,49,5.35
64,49,4.94
15,49,1.78
175,49,2.32
169,49,0.18
183,50,7.17
64,50,9.31
15,50,4.18
175,50,3.34
169,50,0.37
183,51,8.1
64,51,0.69
15,51,7.25
175,51,8.07
169,51,7.56
183,52,4.54
64,52,1.75
15,52,0.09
175,52,1.32
169,52,3.23
183,53,8.01
64,53,3.57
15,53,2.32
175,53,8.04
169,53,0.6
183,54,7.44
64,54,9.17
15,54,2.13
175,54,3.57
169,54,8.2
183,55,9.69
64,55,1.48
15,55,5.49
175,55,7.17
169,55,6.44
183,56,8.98
64,56,5.56
15,56,5.2
175,56,0.55
169,56,0.9
183,57,1.96
64,57,9.63
15,57,8.05
175,57,0.23
169,57,1.63
183,58,0.21
64,58,6.76
15,58,6.29
175,58,3.1
169,58,0.03
183,59,3.44
64,59,3.66
15,59,5.81
175,59,0.46
169,59,9.75
183,60,6.51
64,60,9.56
15,60,0.95
175,60,0.48
169,60,4.11
183,61,6.77
64,61,7.79
15,61,5.05
175,61,8.67
169,61,7.48
183,62,2.36
64,62,7.32
15,62,1.16
175,62,4.75
169,62,1.27
183,63,8.65
64,63,9.03
15,63,9.52
175,63,1.09
169,63,3.44
183,64,7.45
64,64,7.66
15,64,2.85
175,64,3.06
169,64,8.32
183,65,9.99
64,65,9.94
15,65,6.33
175,65,3.45
169,65,1.1
183,66,0.01
64,66,0.01
15,66,1.32
175,66,4.46
169,66,8.01
183,67,8.34
64,67,7.55
15,67,3.7
175,67,1.8
169,67,6.6
183,68,1.75
64,68,6.78
15,68,1.89
175,68,9.83
169,68,9.75
183,69,7.27
64,69,5.89
15,69,9.25
175,69,9.74
169,69,6.5
183,70,6.58
64,70,5.85
15,70,0.49
175,70,0.47
169,70,6.87
183,71,0.41
64,71,6.79
15,71,2.94
175,71,6.4
169,71,4.84
183,72,9.66
64,72,0.68
15,72,7.06
175,72,8.4
169,72,8.93
183,73,9.24
64,73,8.26
15,73,1.42
175,73,0.42
169,73,1.44
183,74,7.62
64,74,2.39
15,74,2.13
175,74,6.24
169,74,6.94
183,75,3.0
64,75,2.8
15,75,3.19
175,75,1.44
169,75,1.05
183,76,7.39
64,76,1.19
15,76,5.51
175,76,5.74
169,76,4.05
183,77,2.97
64,77,2.44
15,77,0.47
175,77,0.54
169,77,5.97
183,78,4.69
64,78,0.2
15,78,8.61
175,78,8.56
169,78,7.73
183,79,8.86
64,79,3.09
15,79,5.64
175,79,7.41
169,79,5.91
183,80,3.92
64,80,5.44
15,80,7.18
175,80,0.47
169,80,7.97
183,81,3.22
64,81,6.53
15,81,8.21
175,81,4.35
169,81,7.58
183,82,0.06
64,82,7.57
15,82,9.23
175,82,8.09
169,82,3.02
183,83,5.5
64,83,4.25
15,83,6.85
175,83,4.12
169,83,9.57
183,84,4.56
64,84,3.23
15,84,7.16
175,84,6.56
169,84,7.21
183,85,7.93
64,85,1.65
15,85,0.59
175,85,5.18
169,85,1.22
183,86,4.74
64,86,0.84
15,86,0.05
175,86,2.38
169,86,1.05
183,87,0.77
64,87,4.38
15,87,9.08
175,87,7.28
169,87,0.23
183,88,9.21
64,88,9.76
15,88,5.16
175,88,4.07
169,88,7.27
183,89,1.92
64,89,4.26
15,89,7.21
175,89,2.06
169,89,2.7
183,90,7.25
64,90,6.18
15,90,7.89
175,90,5.36
169,90,4.66
183,91,1.47
64,91,0.87
15,91,3.4
175,91,9.61
169,91,3.62
183,92,1.17
64,92,9.93
15,92,5.69
175,92,9.82
169,92,7.62
183,93,4.22
64,93,2.24
15,93,7.35
175,93,2.92
169,93,1.27
183,94,6.75
64,94,1.0
15,94,0.31
175,94,5.78
169,94,7.45
183,95,5.55
64,95,3.8
15,95,3.38
175,95,1.34
169,95,1.93
183,96,8.4
64,96,4.27
15,96,3.72
175,96,5.22
